Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Nursing home/long term care facility,562,6545,357,57,,865,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Other,17,1830,26,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Place of death unknown,,15,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Total - All Places of Death,12028,111047,10864,4978,157,18052,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,"Healthcare setting, inpatient",7205,29528,7183,3761,111,10723,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,"Healthcare setting, outpatient or emergency room",426,7492,323,75,,681,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,"Healthcare setting, dead on arrival",,130,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Decedent's home,841,35818,716,170,10,1397,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Hospice facility,880,11077,1344,465,13,1771,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Nursing home/long term care facility,2210,15712,997,418,15,2801,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Other,458,11290,295,88,,666,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maryland,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Total - All Places of Death,15292,129746,12991,6389,230,22112,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,"Healthcare setting, inpatient",8876,42090,9512,5088,167,13461,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,"Healthcare setting, outpatient or emergency room",424,8745,333,97,12,669,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,"Healthcare setting, dead on arrival",19,1148,,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Decedent's home,719,38544,812,182,20,1368,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Hospice facility,120,6003,306,56,12,382,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Nursing home/long term care facility,4697,25312,1825,898,18,5640,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Other,437,7903,196,66,,568,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Massachusetts,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Total - All Places of Death,25317,224180,23291,13392,302,35499,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,"Healthcare setting, inpatient",17828,68749,18514,11571,225,24980,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,"Healthcare setting, outpatient or emergency room",1011,13333,951,410,14,1566,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,"Healthcare setting, dead on arrival",10,384,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Decedent's home,2365,84287,1653,613,23,3428,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Hospice facility,682,16536,465,129,,1021,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Nursing home/long term care facility,3180,33101,1506,573,33,4143,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Other,240,7766,197,95,,346,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Michigan,Place of death unknown,,24,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Total - All Places of Death,10466,100448,8687,4005,159,15301,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,"Healthcare setting, inpatient",5225,25919,5461,2937,101,7846,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,"Healthcare setting, outpatient or emergency room",201,3552,170,61,,311,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,"Healthcare setting, dead on arrival",,97,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Decedent's home,1077,33413,1045,287,19,1854,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Hospice facility,59,2996,142,22,,183,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Nursing home/long term care facility,3736,29221,1738,664,32,4840,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Other,160,5155,128,33,,257,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Minnesota,Place of death unknown,,95,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Total - All Places of Death,10884,77510,10303,5871,102,15402,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,"Healthcare setting, inpatient",7872,26427,8390,5078,73,11243,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,"Healthcare setting, outpatient or emergency room",601,6735,432,192,10,850,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,"Healthcare setting, dead on arrival",11,157,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Decedent's home,937,26302,569,195,12,1322,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Hospice facility,148,2835,248,90,,308,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Nursing home/long term care facility,1211,9851,597,292,,1519,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Other,104,5201,63,22,,146,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Mississippi,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Total - All Places of Death,16231,147521,14116,7824,228,22737,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,"Healthcare setting, inpatient",10855,45878,10788,6487,155,15302,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,"Healthcare setting, outpatient or emergency room",438,8091,364,144,11,669,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,"Healthcare setting, dead on arrival",,91,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Decedent's home,1192,49533,1029,360,22,1881,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Hospice facility,196,5736,303,102,12,409,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Nursing home/long term care facility,3413,30987,1525,686,22,4271,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Other,135,7205,106,44,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Missouri,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Total - All Places of Death,2967,24001,2475,1555,39,3926,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,"Healthcare setting, inpatient",1965,7598,1889,1286,21,2589,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,"Healthcare setting, outpatient or emergency room",67,885,59,27,0,99,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,"Healthcare setting, dead on arrival",,23,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Decedent's home,295,8200,193,85,,407,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Hospice facility,46,892,72,35,,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Nursing home/long term care facility,574,5047,242,115,13,714,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Other,18,1356,20,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Montana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Total - All Places of Death,3991,37566,3740,1763,57,6024,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,"Healthcare setting, inpatient",2502,11308,2627,1437,38,3729,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,"Healthcare setting, outpatient or emergency room",116,2006,86,25,,179,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,"Healthcare setting, dead on arrival",0,24,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Decedent's home,307,10412,328,74,,565,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Hospice facility,36,994,64,,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Nursing home/long term care facility,844,8999,534,192,,1194,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Other,186,3823,101,26,,265,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nebraska,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Total - All Places of Death,8858,63459,9925,6907,64,11938,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,"Healthcare setting, inpatient",6630,21750,7991,5680,40,8980,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,"Healthcare setting, outpatient or emergency room",303,5378,322,169,,461,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,"Healthcare setting, dead on arrival",,19,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Decedent's home,811,21336,511,293,13,1042,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Hospice facility,786,7907,782,565,,1007,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Nursing home/long term care facility,234,3823,220,141,0,313,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Other,93,3240,98,58,,134,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Nevada,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Total - All Places of Death,1915,26782,1790,695,38,3045,
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,"Healthcare setting, inpatient",908,6946,1225,567,32,1596,
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,"Healthcare setting, outpatient or emergency room",32,1118,37,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,"Healthcare setting, dead on arrival",,28,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Decedent's home,153,9757,172,33,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Hospice facility,15,1142,41,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Nursing home/long term care facility,763,6186,286,78,,972,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Other,42,1597,28,,0,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Hampshire,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Jersey,Total - All Places of Death,27096,174740,21414,13658,161,34997,
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Jersey,"Healthcare setting, inpatient",18572,63433,16374,11029,115,24021,
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Jersey,"Healthcare setting, outpatient or emergency room",771,9690,506,223,,1060,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,New Jersey,"Healthcare setting, dead on arrival",36,597,15,,0,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
